ID,Date_birth,Date_driving_licence,Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight
48445,1960-01-01,2004-07-30,76.32,143,2148,34700.0,4,D,4.526,1445
48754,1966-04-14,2002-09-06,68.97,90,1905,15938.84,5,D,4.167,1151
49428,1977-12-27,2008-02-06,47.71,130,1870,26415.0,5,D,4.56,1540
50086,1983-06-18,2008-07-25,76.92,90,1997,18943.0,5,D,4.276,1300
51393,1978-11-09,2007-10-30,81.51,140,1968,26976.77,3,D,4.238,1320
51479,1977-04-24,2007-08-01,57.75,71,1905,14454.34,5,D,3.995,1080
52187,1988-03-04,2007-01-15,73.29,90,1587,14043.67,5,P,4.167,1078
52223,1989-11-08,2008-06-03,61.94,110,1896,17627.69,5,D,4.184,1239
52344,1981-09-01,2014-11-07,56.66,110,1560,21260.0,3,D,4.276,1312
52443,1973-05-16,2012-09-10,66.88,120,1499,23590.0,5,D,4.818,1714
52835,1982-05-17,2002-10-16,74.9,90,1997,13870.0,3,D,3.822,1070
53383,1978-07-14,2017-11-23,68.02,71,1868,13650.0,4,D,4.108,1155
